1029,Eppendorf_500 uL lo-bind elution plate with lid,Eppendorf 96-well DNA lo-bind PP V-bottom 500 uL/well plate (#951032000),Eppendorf_96-well DNA lo-bind elution plate_500uL.rck,Eppendorf\\Eppendorf_96-well DNA lo-bind elution plate_500uL.rck
1003,,,Fal_96_Rd.rck,Falcon\\Fal_96_Rd.rck
1031,Greiner_ nonbinding rnase-free flat bottom plate lid,Agilent universal lid (202947-100),Greiner_96-well non-binding rnase-free black plate.lid,Greiner\\Greiner_96-well non-binding rnase-free black plate.lid
1029,Greiner_ nonbinding\, rnase-free flat bottom plate with lid,Greiner 96-well non-binding rnase free flat bottom black plate (#655900),Greiner_96-well non-binding rnase-free black plate.rck,Greiner\\Greiner_96-well non-binding rnase-free black plate.rck
1025,Greiner_ nonbinding\, rnase-free flat bottom plate with lid,Greiner 96-well non-binding rnase free flat bottom black plate (#655900),Greiner_96-well non-binding rnase-free black plate.rck,Greiner\\Greiner_96-well non-binding rnase-free black plate.rck
1025,,,Gre_1536_Sq.rck,Greiner\\Gre_1536_Sq.rck
1005,,,Gre_1536_Sq.rck,Greiner\\Gre_1536_Sq.rck
1025,,,Gre_384_Sq.rck,Greiner\\Gre_384_Sq.rck
1004,,,Gre_384_Sq.rck,Greiner\\Gre_384_Sq.rck
1019,,,Ham_250ml_RGT_L.rck,Hamilton\\Ham_250ml_RGT_L.rck
1008,,,Ham_250ml_RGT_L.rck,Hamilton\\Ham_250ml_RGT_L.rck
1019,,,Ham_96_DW.rck,Hamilton\\Ham_96_DW.rck
1006,,,Ham_96_DW.rck,Hamilton\\Ham_96_DW.rck
1003,,,Ham_96_DW.rck,Hamilton\\Ham_96_DW.rck
1006,Hamilton 1.2 ml deep well plate,Hamilton 1.2 ml deep well plate  with 96 wells (P/N: 235655),HAM_DW_12_ml.rck,Hamilton\\HAM_DW_12_ml.rck
1003,Hamilton 1.2 ml deep well plate,Hamilton 1.2 ml deep well plate  with 96 wells (P/N: 235655),HAM_DW_12_ml.rck,Hamilton\\HAM_DW_12_ml.rck
1006,Hamilton 2.2 ml deep well plate,Hamilton 2.2 ml deep well plate with 96 wells (P/N: 235656),HAM_DW_22_ml.rck,Hamilton\\HAM_DW_22_ml.rck
1003,Hamilton 2.2 ml deep well plate,Hamilton 2.2 ml deep well plate with 96 wells (P/N: 235656),HAM_DW_22_ml.rck,Hamilton\\HAM_DW_22_ml.rck
1019,,,Ham_DW_Rgt_96_L.rck,Hamilton\\Ham_DW_Rgt_96_L.rck
1008,,,Ham_DW_Rgt_96_L.rck,Hamilton\\Ham_DW_Rgt_96_L.rck
1019,,,Ham_DW_Rgt_L.rck,Hamilton\\Ham_DW_Rgt_L.rck
1008,,,Ham_DW_Rgt_L.rck,Hamilton\\Ham_DW_Rgt_L.rck
