PlateName,SourceBC,SourceWell,TargetBC,TargetWell,Volume
PCRPlate2,TBC03#1003242172,E4,TargetPlate,E2,5
PCRPlate2,TBC03#1003242172,F4,TargetPlate,F2,5
PCRPlate2,TBC03#1003242172,G4,TargetPlate,G2,5
PCRPlate2,TBC03#1003242172,H4,TargetPlate,H2,5
PCRPlate2,TBC03#1003242172,A5,TargetPlate,A2,5
PCRPlate2,TBC03#1003242172,B5,TargetPlate,B2,5
PCRPlate2,TBC03#1003242172,C5,TargetPlate,C2,5
PCRPlate2,TBC03#1003242172,D5,TargetPlate,D2,5
PCRPlate2,TBC03#1003242172,E5,TargetPlate,E2,5
PCRPlate2,TBC03#1003242172,F5,TargetPlate,F2,5
PCRPlate2,TBC03#1003242172,G5,TargetPlate,G2,5
PCRPlate2,TBC03#1003242172,H5,TargetPlate,H2,5
PCRPlate2,TBC03#1003242172,A6,TargetPlate,A2,5
PCRPlate2,TBC03#1003242172,B6,TargetPlate,B2,5
PCRPlate2,TBC03#1003242172,C6,TargetPlate,C2,5
PCRPlate2,TBC03#1003242172,D6,TargetPlate,D2,5
PCRPlate2,TBC03#1003242172,E6,TargetPlate,E2,5
PCRPlate2,TBC03#1003242172,F6,TargetPlate,F2,5
PCRPlate2,TBC03#1003242172,G6,TargetPlate,G2,5
PCRPlate2,TBC03#1003242172,H6,TargetPlate,H2,5
PCRPlate2,TBC03#1003242172,A7,TargetPlate,A2,5
PCRPlate2,TBC03#1003242172,B7,TargetPlate,B2,5
PCRPlate2,TBC03#1003242172,C7,TargetPlate,C2,5
PCRPlate2,TBC03#1003242172,D7,TargetPlate,D2,5
PCRPlate2,TBC03#1003242172,E7,TargetPlate,E2,5
PCRPlate2,TBC03#1003242172,F7,TargetPlate,F2,5
PCRPlate2,TBC03#1003242172,G7,TargetPlate,G2,5
PCRPlate2,TBC03#1003242172,H7,TargetPlate,H2,5
PCRPlate2,TBC03#1003242172,A8,TargetPlate,A2,5
PCRPlate2,TBC03#1003242172,B8,TargetPlate,B2,5
PCRPlate2,TBC03#1003242172,C8,TargetPlate,C2,5
PCRPlate2,TBC03#1003242172,D8,TargetPlate,D2,5
PCRPlate2,TBC03#1003242172,E8,TargetPlate,E2,5
PCRPlate2,TBC03#1003242172,F8,TargetPlate,F2,5
PCRPlate2,TBC03#1003242172,G8,TargetPlate,G2,5
PCRPlate2,TBC03#1003242172,H8,TargetPlate,H2,5
PCRPlate2,TBC03#1003242172,A9,TargetPlate,A2,5
PCRPlate2,TBC03#1003242172,B9,TargetPlate,B2,5
PCRPlate2,TBC03#1003242172,C9,TargetPlate,C2,5
PCRPlate2,TBC03#1003242172,D9,TargetPlate,D2,5
PCRPlate2,TBC03#1003242172,E9,TargetPlate,E2,5
PCRPlate2,TBC03#1003242172,F9,TargetPlate,F2,5
PCRPlate2,TBC03#1003242172,G9,TargetPlate,G2,5
PCRPlate2,TBC03#1003242172,H9,TargetPlate,H2,5
PCRPlate2,TBC03#1003242172,A10,TargetPlate,A2,5
PCRPlate2,TBC03#1003242172,B10,TargetPlate,B2,5
PCRPlate2,TBC03#1003242172,C10,TargetPlate,C2,5
PCRPlate2,TBC03#1003242172,D10,TargetPlate,D2,5
PCRPlate2,TBC03#1003242172,E10,TargetPlate,E2,5
PCRPlate2,TBC03#1003242172,F10,TargetPlate,F2,5
PCRPlate2,TBC03#1003242172,G10,TargetPlate,G2,5
PCRPlate2,TBC03#1003242172,H10,TargetPlate,H2,5
PCRPlate2,TBC03#1003242172,A11,TargetPlate,A2,5
PCRPlate2,TBC03#1003242172,B11,TargetPlate,B2,5
PCRPlate2,TBC03#1003242172,C11,TargetPlate,C2,5
PCRPlate2,TBC03#1003242172,D11,TargetPlate,D2,5
PCRPlate2,TBC03#1003242172,E11,TargetPlate,E2,5
PCRPlate2,TBC03#1003242172,F11,TargetPlate,F2,5
PCRPlate2,TBC03#1003242172,G11,TargetPlate,G2,5
PCRPlate2,TBC03#1003242172,H11,TargetPlate,H2,5
PCRPlate2,TBC03#1003242172,A12,TargetPlate,A2,5
PCRPlate2,TBC03#1003242172,B12,TargetPlate,B2,5
PCRPlate2,TBC03#1003242172,C12,TargetPlate,C2,5
PCRPlate2,TBC03#1003242172,D12,TargetPlate,D2,5
PCRPlate2,TBC03#1003242172,E12,TargetPlate,E2,5
PCRPlate2,TBC03#1003242172,F12,TargetPlate,F2,5
PCRPlate2,TBC03#1003242172,G12,TargetPlate,G2,5
PCRPlate2,TBC03#1003242172,H12,TargetPlate,H2,5
